RISP;AISP;CISP;Unidade Territorial;Município;Região de Governo
5;28;168;Rio Claro, Getulândia, Lídice, Passa Três e São João Marcos;Rio Claro;Médio Paraíba
5;33;165;Mangaratiba, Conceição de Jacareí, Vila Muriquí, Itacuruçá;Mangaratiba;Costa Verde
5;33;166;Angra dos Reis, Jacuecanga, Cunhambebe, Mambucaba, Abraão e Praia de Araçatiba;Angra dos Reis;Costa Verde
5;33;167;Paraty, Paraty-Mirim e Tarituba;Paraty;Costa Verde
5;37;89;Resende, Engenheiro Passos, Agulhas Negras, Pedra Selada e Fumaça;Resende;Médio Paraíba
5;37;99;Itatiaia;Itatiaia;Médio Paraíba
5;37;100;Porto Real;Porto Real;Médio Paraíba
5;37;100;Quatis, Falcão e Ribeirão de São Joaquim;Quatis;Médio Paraíba
6;8;134;Campos dos Goytacazes (Primeiro Subdistrito, Segundo Subdistrito e Quarto Subdistrito), Ibitioca, Dores de Macabu, Morangaba, Mussurepe, Serrinha, Santo Amaro de Campos, São Sebastião de Campos e Tocos;Campos dos Goytacazes;Norte Fluminense
6;8;141;São Fidelis, Cambiasca, Colonia, Ipuca e Pureza;São Fidélis;Norte Fluminense
6;8;145;Barcelos, Atafona, São João da Barra, Grussaí, Cajueiro e Pipeiras;São João da Barra;Norte Fluminense
6;8;146;Campos dos Goytacazes (Terceiro Subdistrito), Santa Maria, Morro do Coco, Santo Eduardo, Travessão e Vila Nova de Campos;Campos dos Goytacazes;Norte Fluminense
6;8;147;São Francisco de Itabapoana, Maniva e Barra Seca;São Francisco de Itabapoana;Norte Fluminense
6;29;138;Laje do Muriaé;Laje do Muriaé;Noroeste Fluminense
6;29;139;Porciúncula, Purilândia e Santa Clara;Porciúncula;Noroeste Fluminense
6;29;140;Natividade, Ourania e Bom Jesus do Querendo;Natividade;Noroeste Fluminense
6;29;140;Varre-Sai;Varre-Sai;Noroeste Fluminense
6;29;143;Itaperuna, Boaventura, Nossa Senhora da Penha, Itajara, Retiro do Muriaé, Raposo e Comendador Venâncio;Itaperuna;Noroeste Fluminense
6;29;143;São José de Ubá;São José de Ubá;Noroeste Fluminense
6;29;144;Bom Jesus de Itabapoana, Carabuçú, Calheiros, Pirapetinga de Bom Jesus, Rosal e Serrinha;Bom Jesus de Itabapoana;Noroeste Fluminense
6;29;148;Italva;Italva;Noroeste Fluminense
6;29;148;Cardoso Moreira e São Joaquim;Cardoso Moreira;Norte Fluminense
6;32;121;Casimiro de Abreu, Professor Souza, Barra de São João e Rio Dourado;Casimiro de Abreu;Baixadas Litorâneas
6;32;122;Conceição de Macabú e Macabuzinho;Conceição de Macabú;Norte Fluminense
6;32;123;Centro, Cabiúnas, Barra de Macaé, Aeroporto e Imboassica;Macaé;Norte Fluminense
6;32;128;Rio das Ostras;Rio das Ostras;Baixadas Litorâneas
6;32;130;Centro, UB-S, Rodagem, Carapebus e Praia de Carapebus;Carapebus;Norte Fluminense
6;32;130;Quissamã;Quissamã;Norte Fluminense
6;36;135;Itaocara, Portela, Batatal, Laranjais, Jaguarembe e Estrada Nova;Itaocara;Noroeste Fluminense
6;36;136;Aperibé;Aperibé;Noroeste Fluminense
6;36;136;Santo Antônio de Pádua, Campelo, Paraoquena, Monte Alegre, Ibitiguaçú, Santa Cruz, Baltazar, Marangatú e São Pedro de Alcântara;Santo Antônio de Pádua;Noroeste Fluminense
6;36;137;Miracema, Venda das Flores e Paraíso do Tobias;Miracema;Noroeste Fluminense
6;36;142;Cambuci, Três Irmãos, Funil, Monte Verde e São João do Paraíso;Cambuci;Noroeste Fluminense
6;36;155;São Sebastião do Alto, Valão do Barro e Ipituna;São Sebastião do Alto;Serrana
7;11;151;Nova Friburgo, São Pedro da Serra, Lumiar, Amparo, Riograndina, Conselheiro Paulino e Campo do Coelho;Nova Friburgo;Serrana
7;11;152;Duas Barras e Monnerat;Duas Barras;Serrana
7;11;153;Cantagalo, Santa Rita da Floresta, Boa Sorte, Euclidelândia e São Sebastião do Paraíba;Cantagalo;Serrana
7;11;154;Cordeiro;Cordeiro;Serrana
7;11;154;Macuco;Macuco;Serrana
7;11;156;Santa Maria Madalena, Doutor Loreti, Renascença, Santo Antônio do Imbé, Sossego e Triunfo;Santa Maria Madalena;Serrana
7;11;157;Trajano de Moraes, Doutor Elias, Sodrelândia, Vila da Grama e Visconde de Imbé;Trajano de Moraes;Serrana
7;11;158;Bom Jardim, Banquete, Barra Alegre e São José do Ribeirão;Bom Jardim;Serrana
7;26;105;Petrópolis e Cascatinha;Petrópolis;Metropolitana
7;26;106;Itaipava, Pedro do Rio e Posse;Petrópolis;Metropolitana
7;30;104;São José do Vale do Rio Preto;São José do Vale do Rio Preto;Serrana
7;30;110;Teresópolis, Vale do Bonsucesso e Vale do Paquequer;Teresópolis;Serrana
7;30;111;Sumidouro;Sumidouro;Serrana
7;30;112;Carmo, Córrego da Prata e Porto Velho do Cunha;Carmo;Serrana
7;38;107;Paraíba do Sul, Werneck, Salutaris e Inconfidência;Paraíba do Sul;Centro-Sul Fluminense
7;38;108;Areal;Areal;Centro-Sul Fluminense
7;38;108;Comendador Levy Gasparian e Afonso Arinos;Comendador Levy Gasparian;Centro-Sul Fluminense
7;38;108;Três Rios e Bemposta;Três Rios;Centro-Sul Fluminense
7;38;109;Sapucaia, Anta, Pião, Nossa Senhora Aparecida e Jamapara;Sapucaia;Centro-Sul Fluminense
